severity,req#,subject,logged_date,last_updated,service
critical,124298,Paper jam,01/30/2023 13:09:55 IST,02/01/2023 19:09:55 IST,Service 6
high,124299,Network issues,07/28/2023 00:54:10 IST,07/30/2023 08:54:10 IST,Service 7
critical,124300,Toner not recognized,09/15/2023 02:52:00 IST,09/16/2023 02:52:00 IST,Service 6
medium,124303,Printer not responding,03/17/2023 09:19:44 IST,03/17/2023 15:19:44 IST,Service 2
medium,124306,Paper jam,10/29/2023 12:35:23 IST,10/30/2023 11:35:23 IST,Service 5
low,124310,Cannot connect to printer,04/05/2023 12:24:42 IST,04/05/2023 13:24:42 IST,Service 10
low,124314,Driver installation error,12/20/2023 17:32:13 IST,12/21/2023 11:32:13 IST,Service 8
low,124319,Network issues,04/05/2023 20:54:18 IST,04/07/2023 04:54:18 IST,Service 2
low,124321,Toner not recognized,09/29/2023 22:45:12 IST,10/02/2023 08:45:12 IST,Service 4
critical,124322,Toner not recognized,09/14/2023 15:24:19 IST,09/15/2023 19:24:19 IST,Service 7
low,124323,Toner not recognized,08/09/2023 05:33:10 IST,08/09/2023 13:33:10 IST,Service 7
low,124326,Low ink warning,06/21/2023 20:38:50 IST,06/24/2023 12:38:50 IST,Service 9
critical,124327,Cannot print PDF,04/17/2023 06:18:46 IST,04/18/2023 09:18:46 IST,Service 7
high,124329,Slow printing,12/25/2023 01:10:54 IST,12/25/2023 04:10:54 IST,Service 9
high,124331,Printer not responding,12/06/2023 04:21:33 IST,12/08/2023 02:21:33 IST,Service 8
low,124336,Printer not responding,05/17/2023 06:29:16 IST,05/19/2023 04:29:16 IST,Service 2
medium,124339,Printer spooler error,09/03/2023 15:51:37 IST,09/06/2023 10:51:37 IST,Service 9
high,124340,Cannot connect to printer,07/14/2023 18:44:30 IST,07/16/2023 08:44:30 IST,Service 8
high,124341,Cannot print PDF,07/26/2023 19:11:29 IST,07/27/2023 16:11:29 IST,Service 2
critical,124343,Driver installation error,06/18/2023 23:22:10 IST,06/21/2023 02:22:10 IST,Service 4
high,124347,Cannot print PDF,03/12/2023 00:54:41 IST,03/12/2023 06:54:41 IST,Service 8
medium,124349,Cannot connect to printer,06/29/2023 00:05:43 IST,07/02/2023 00:05:43 IST,Service 8
critical,124351,Toner not recognized,05/25/2023 07:44:22 IST,05/25/2023 16:44:22 IST,Service 9
critical,124355,Driver installation error,02/21/2023 17:50:05 IST,02/23/2023 00:50:05 IST,Service 3
critical,124357,Printer not responding,01/26/2023 13:46:11 IST,01/29/2023 03:46:11 IST,Service 5
low,124358,Printer spooler error,01/26/2023 16:44:09 IST,01/27/2023 23:44:09 IST,Service 3
high,124362,Network issues,02/12/2023 19:05:11 IST,02/13/2023 22:05:11 IST,Service 8
low,124365,Printer spooler error,01/05/2023 03:16:34 IST,01/06/2023 02:16:34 IST,Service 3
medium,124370,Low ink warning,07/12/2023 20:11:47 IST,07/13/2023 13:11:47 IST,Service 6
high,124371,Paper jam,07/13/2023 22:48:06 IST,07/15/2023 06:48:06 IST,Service 8
medium,124375,Network issues,02/25/2023 13:47:35 IST,02/27/2023 23:47:35 IST,Service 6
medium,124376,Slow printing,02/23/2023 08:15:19 IST,02/24/2023 21:15:19 IST,Service 4
low,124380,Printer not responding,01/18/2023 12:44:01 IST,01/21/2023 12:44:01 IST,Service 3
high,124384,Slow printing,02/03/2023 10:54:31 IST,02/04/2023 04:54:31 IST,Service 1
critical,124387,Printer not responding,01/03/2023 03:16:55 IST,01/05/2023 02:16:55 IST,Service 4
medium,124390,Cannot print PDF,09/29/2023 13:20:02 IST,10/01/2023 19:20:02 IST,Service 8
low,124391,Cannot print PDF,05/09/2023 11:29:07 IST,05/10/2023 17:29:07 IST,Service 7
low,124396,Toner not recognized,05/24/2023 20:40:21 IST,05/26/2023 16:40:21 IST,Service 3
low,124398,Paper jam,06/24/2023 15:17:33 IST,06/24/2023 23:17:33 IST,Service 4
medium,124403,Printer not responding,08/04/2023 14:56:41 IST,08/06/2023 00:56:41 IST,Service 5
critical,124404,Paper jam,10/15/2023 09:47:44 IST,10/18/2023 00:47:44 IST,Service 10
critical,124408,Slow printing,10/06/2023 13:48:14 IST,10/06/2023 23:48:14 IST,Service 1
medium,124409,Driver installation error,02/15/2023 04:29:55 IST,02/16/2023 04:29:55 IST,Service 1
low,124414,Printer not responding,06/02/2023 22:24:45 IST,06/05/2023 22:24:45 IST,Service 2
high,124416,Driver installation error,02/16/2023 12:38:10 IST,02/17/2023 11:38:10 IST,Service 7
medium,124418,Cannot print PDF,08/03/2023 15:48:00 IST,08/04/2023 04:48:00 IST,Service 5
medium,124420,Toner not recognized,01/11/2023 13:29:18 IST,01/14/2023 11:29:18 IST,Service 10
critical,124423,Cannot print PDF,04/23/2023 07:53:37 IST,04/24/2023 07:53:37 IST,Service 4
medium,124426,Paper jam,04/02/2023 03:26:01 IST,04/02/2023 07:26:01 IST,Service 3
high,124430,Network issues,09/12/2023 11:11:27 IST,09/15/2023 04:11:27 IST,Service 2
medium,124431,Cannot print PDF,01/28/2023 13:54:34 IST,01/29/2023 13:54:34 IST,Service 3
critical,124432,Low ink warning,06/03/2023 07:38:15 IST,06/04/2023 01:38:15 IST,Service 4
critical,124435,Low ink warning,06/12/2023 00:11:29 IST,06/14/2023 22:11:29 IST,Service 1
high,124436,Driver installation error,03/17/2023 04:09:51 IST,03/17/2023 14:09:51 IST,Service 2
medium,124441,Network issues,10/07/2023 12:58:33 IST,10/10/2023 05:58:33 IST,Service 1
high,124446,Paper jam,03/10/2023 15:06:02 IST,03/13/2023 06:06:02 IST,Service 6
medium,124451,Toner not recognized,06/14/2023 21:17:57 IST,06/17/2023 08:17:57 IST,Service 2
critical,124453,Paper jam,07/15/2023 12:05:22 IST,07/16/2023 05:05:22 IST,Service 7
high,124455,Driver installation error,12/08/2023 09:36:44 IST,12/11/2023 07:36:44 IST,Service 4
low,124457,Cannot connect to printer,05/14/2023 18:52:16 IST,05/17/2023 14:52:16 IST,Service 10
low,124462,Slow printing,10/09/2023 23:08:31 IST,10/12/2023 00:08:31 IST,Service 5
high,124463,Cannot connect to printer,07/19/2023 17:54:19 IST,07/20/2023 23:54:19 IST,Service 3
high,124468,Driver installation error,07/21/2023 04:57:14 IST,07/23/2023 23:57:14 IST,Service 2
medium,124472,Network issues,08/29/2023 16:07:04 IST,08/30/2023 06:07:04 IST,Service 4
low,124477,Printer not responding,05/29/2023 04:16:20 IST,05/30/2023 00:16:20 IST,Service 7
critical,124478,Toner not recognized,03/18/2023 01:09:52 IST,03/19/2023 02:09:52 IST,Service 5
critical,124483,Driver installation error,04/01/2023 21:09:56 IST,04/03/2023 15:09:56 IST,Service 4
high,124487,Printer spooler error,08/11/2023 13:21:07 IST,08/11/2023 19:21:07 IST,Service 2
high,124492,Low ink warning,01/24/2023 05:02:15 IST,01/25/2023 16:02:15 IST,Service 2
low,124494,Printer spooler error,10/13/2023 13:12:11 IST,10/14/2023 23:12:11 IST,Service 9
high,124499,Network issues,05/03/2023 10:22:30 IST,05/04/2023 10:22:30 IST,Service 1
medium,124500,Cannot print PDF,06/02/2023 06:58:21 IST,06/05/2023 06:58:21 IST,Service 10
critical,124504,Cannot print PDF,02/04/2023 04:59:20 IST,02/05/2023 01:59:20 IST,Service 10
critical,124508,Cannot print PDF,03/07/2023 08:57:02 IST,03/08/2023 11:57:02 IST,Service 7
medium,124509,Printer not responding,11/01/2023 18:07:03 IST,11/04/2023 01:07:03 IST,Service 4
medium,124510,Cannot connect to printer,11/13/2023 17:46:21 IST,11/14/2023 02:46:21 IST,Service 9
critical,124515,Network issues,02/21/2023 15:58:52 IST,02/24/2023 05:58:52 IST,Service 5
medium,124517,Cannot print PDF,10/01/2023 08:06:01 IST,10/03/2023 04:06:01 IST,Service 4
medium,124521,Toner not recognized,06/10/2023 23:06:25 IST,06/11/2023 07:06:25 IST,Service 7
critical,124522,Network issues,09/18/2023 10:19:01 IST,09/21/2023 00:19:01 IST,Service 1
low,124524,Driver installation error,03/30/2023 05:16:39 IST,03/31/2023 14:16:39 IST,Service 1
medium,124528,Slow printing,10/10/2023 22:32:33 IST,10/13/2023 15:32:33 IST,Service 10
high,124530,Toner not recognized,10/03/2023 09:04:53 IST,10/06/2023 07:04:53 IST,Service 8
medium,124535,Paper jam,01/25/2023 17:20:06 IST,01/27/2023 21:20:06 IST,Service 8
critical,124539,Paper jam,08/14/2023 03:06:42 IST,08/15/2023 20:06:42 IST,Service 7
medium,124543,Printer spooler error,07/11/2023 15:46:31 IST,07/14/2023 09:46:31 IST,Service 3
high,124546,Cannot connect to printer,01/11/2023 10:28:57 IST,01/11/2023 17:28:57 IST,Service 9
low,124551,Printer not responding,03/18/2023 02:08:35 IST,03/19/2023 00:08:35 IST,Service 2
critical,124556,Cannot print PDF,11/03/2023 11:59:19 IST,11/04/2023 14:59:19 IST,Service 4
high,124559,Toner not recognized,10/21/2023 20:04:24 IST,10/24/2023 15:04:24 IST,Service 2
medium,124561,Low ink warning,02/28/2023 13:54:27 IST,03/03/2023 05:54:27 IST,Service 5
low,124564,Low ink warning,04/25/2023 12:32:24 IST,04/26/2023 13:32:24 IST,Service 9
low,124565,Network issues,06/21/2023 01:50:10 IST,06/23/2023 16:50:10 IST,Service 1
critical,124567,Low ink warning,10/25/2023 19:41:31 IST,10/26/2023 02:41:31 IST,Service 3
high,124571,Paper jam,10/17/2023 18:52:22 IST,10/19/2023 22:52:22 IST,Service 9
critical,124575,Cannot connect to printer,06/27/2023 09:54:04 IST,06/27/2023 17:54:04 IST,Service 6
medium,124576,Paper jam,12/04/2023 05:52:45 IST,12/06/2023 15:52:45 IST,Service 7
high,124578,Cannot print PDF,11/29/2023 09:13:34 IST,12/01/2023 07:13:34 IST,Service 2
medium,124583,Driver installation error,10/26/2023 18:05:35 IST,10/28/2023 07:05:35 IST,Service 6
low,124585,Paper jam,04/24/2023 22:41:23 IST,04/26/2023 10:41:23 IST,Service 5
low,124586,Low ink warning,02/04/2023 15:15:02 IST,02/07/2023 04:15:02 IST,Service 9
medium,124589,Low ink warning,03/04/2023 19:02:04 IST,03/06/2023 13:02:04 IST,Service 5
medium,124590,Slow printing,08/31/2023 19:47:54 IST,09/03/2023 14:47:54 IST,Service 9
low,124593,Printer spooler error,05/29/2023 03:05:36 IST,05/30/2023 09:05:36 IST,Service 4
high,124595,Cannot print PDF,05/27/2023 01:23:26 IST,05/27/2023 06:23:26 IST,Service 5
low,124600,Cannot print PDF,01/19/2023 04:57:00 IST,01/20/2023 17:57:00 IST,Service 6
high,124605,Printer spooler error,08/17/2023 08:07:33 IST,08/18/2023 03:07:33 IST,Service 8
low,124606,Toner not recognized,04/26/2023 02:50:10 IST,04/28/2023 08:50:10 IST,Service 3
medium,124610,Low ink warning,09/28/2023 07:44:29 IST,09/28/2023 09:44:29 IST,Service 10
high,124615,Low ink warning,06/29/2023 05:05:18 IST,06/29/2023 17:05:18 IST,Service 6
high,124617,Network issues,07/08/2023 21:19:21 IST,07/10/2023 09:19:21 IST,Service 6
low,124618,Driver installation error,05/19/2023 01:35:46 IST,05/22/2023 01:35:46 IST,Service 2
low,124622,Cannot print PDF,01/15/2023 05:39:18 IST,01/16/2023 16:39:18 IST,Service 6
high,124626,Printer not responding,06/30/2023 02:22:15 IST,07/02/2023 19:22:15 IST,Service 1
high,124631,Paper jam,11/25/2023 21:37:47 IST,11/27/2023 07:37:47 IST,Service 5
medium,124633,Slow printing,02/05/2023 10:07:13 IST,02/07/2023 09:07:13 IST,Service 10
low,124637,Toner not recognized,01/19/2023 20:02:16 IST,01/21/2023 07:02:16 IST,Service 4
medium,124638,Printer spooler error,11/09/2023 14:49:24 IST,11/09/2023 19:49:24 IST,Service 5
medium,124642,Network issues,04/07/2023 22:29:50 IST,04/08/2023 18:29:50 IST,Service 3
low,124644,Toner not recognized,10/26/2023 10:58:06 IST,10/27/2023 03:58:06 IST,Service 5
critical,124646,Cannot connect to printer,01/21/2023 19:34:33 IST,01/23/2023 05:34:33 IST,Service 8
low,124649,Paper jam,04/22/2023 11:31:34 IST,04/25/2023 00:31:34 IST,Service 9
high,124652,Paper jam,08/25/2023 22:34:19 IST,08/28/2023 18:34:19 IST,Service 9
critical,124653,Printer not responding,05/28/2023 21:13:55 IST,05/31/2023 10:13:55 IST,Service 5
critical,124658,Cannot connect to printer,07/26/2023 18:53:26 IST,07/27/2023 12:53:26 IST,Service 7
high,124660,Low ink warning,09/27/2023 13:03:56 IST,09/28/2023 04:03:56 IST,Service 1
high,124665,Paper jam,05/07/2023 15:51:30 IST,05/10/2023 04:51:30 IST,Service 1
medium,124666,Low ink warning,07/23/2023 05:22:04 IST,07/23/2023 11:22:04 IST,Service 7
low,124670,Printer spooler error,07/24/2023 19:46:06 IST,07/27/2023 04:46:06 IST,Service 8
medium,124671,Driver installation error,11/02/2023 08:03:15 IST,11/03/2023 07:03:15 IST,Service 10
low,124672,Printer not responding,12/14/2023 04:24:11 IST,12/15/2023 13:24:11 IST,Service 2
low,124674,Printer not responding,04/30/2023 20:42:14 IST,05/02/2023 00:42:14 IST,Service 4
high,124678,Low ink warning,07/30/2023 23:24:44 IST,07/31/2023 19:24:44 IST,Service 1
critical,124679,Slow printing,10/03/2023 03:31:53 IST,10/06/2023 01:31:53 IST,Service 2
high,124680,Cannot print PDF,12/22/2023 14:22:16 IST,12/24/2023 17:22:16 IST,Service 5
medium,124683,Driver installation error,07/20/2023 23:31:42 IST,07/21/2023 19:31:42 IST,Service 10
critical,124684,Slow printing,07/18/2023 00:09:16 IST,07/18/2023 05:09:16 IST,Service 5
low,124685,Printer spooler error,04/06/2023 15:19:33 IST,04/09/2023 03:19:33 IST,Service 10
medium,124687,Slow printing,07/31/2023 04:23:06 IST,07/31/2023 11:23:06 IST,Service 10
critical,124688,Printer spooler error,09/28/2023 07:36:58 IST,09/28/2023 10:36:58 IST,Service 5
low,124691,Toner not recognized,06/01/2023 03:18:11 IST,06/02/2023 13:18:11 IST,Service 2
high,124694,Cannot connect to printer,12/01/2023 01:03:03 IST,12/02/2023 00:03:03 IST,Service 10
medium,124696,Low ink warning,09/27/2023 14:05:49 IST,09/27/2023 19:05:49 IST,Service 8
low,124698,Printer not responding,09/27/2023 04:10:30 IST,09/29/2023 01:10:30 IST,Service 9
critical,124701,Slow printing,03/10/2023 11:28:13 IST,03/11/2023 00:28:13 IST,Service 3
low,124705,Cannot connect to printer,05/22/2023 10:28:18 IST,05/24/2023 06:28:18 IST,Service 3
low,124709,Paper jam,01/22/2023 00:23:41 IST,01/23/2023 19:23:41 IST,Service 7
critical,124713,Toner not recognized,08/17/2023 15:01:05 IST,08/20/2023 11:01:05 IST,Service 9
low,124718,Printer spooler error,11/01/2023 17:27:23 IST,11/04/2023 17:27:23 IST,Service 8
low,124722,Paper jam,08/30/2023 06:29:22 IST,09/01/2023 09:29:22 IST,Service 5
high,124726,Toner not recognized,06/27/2023 10:18:56 IST,06/28/2023 09:18:56 IST,Service 6
critical,124728,Slow printing,06/25/2023 20:41:47 IST,06/27/2023 23:41:47 IST,Service 8
low,124731,Printer not responding,10/20/2023 17:28:32 IST,10/21/2023 02:28:32 IST,Service 4
low,124735,Low ink warning,09/05/2023 06:54:05 IST,09/07/2023 12:54:05 IST,Service 5
medium,124737,Toner not recognized,12/31/2023 06:41:33 IST,01/01/2024 05:41:33 IST,Service 1
critical,124742,Printer not responding,12/27/2023 13:30:37 IST,12/29/2023 10:30:37 IST,Service 1
low,124744,Slow printing,06/02/2023 02:28:37 IST,06/03/2023 06:28:37 IST,Service 3
low,124749,Cannot connect to printer,05/10/2023 16:17:36 IST,05/12/2023 02:17:36 IST,Service 5
critical,124752,Low ink warning,10/29/2023 06:12:41 IST,10/29/2023 09:12:41 IST,Service 6
low,124755,Printer not responding,02/14/2023 00:27:38 IST,02/14/2023 11:27:38 IST,Service 2
medium,124760,Network issues,03/04/2023 00:32:06 IST,03/04/2023 10:32:06 IST,Service 10
critical,124765,Slow printing,01/08/2023 20:22:11 IST,01/10/2023 09:22:11 IST,Service 8
high,124768,Cannot print PDF,10/26/2023 17:45:56 IST,10/28/2023 01:45:56 IST,Service 7
critical,124772,Printer not responding,03/26/2023 15:55:31 IST,03/28/2023 08:55:31 IST,Service 6
high,124775,Paper jam,06/05/2023 08:42:18 IST,06/06/2023 19:42:18 IST,Service 4
critical,124778,Cannot connect to printer,10/09/2023 17:58:36 IST,10/09/2023 21:58:36 IST,Service 1
critical,124783,Cannot connect to printer,08/15/2023 05:17:59 IST,08/16/2023 20:17:59 IST,Service 9
critical,124788,Network issues,10/03/2023 23:09:15 IST,10/06/2023 15:09:15 IST,Service 8
high,124791,Cannot connect to printer,09/17/2023 17:53:50 IST,09/18/2023 02:53:50 IST,Service 5
critical,124796,Cannot print PDF,12/12/2023 23:16:08 IST,12/13/2023 11:16:08 IST,Service 5
low,124798,Slow printing,08/01/2023 10:10:22 IST,08/02/2023 05:10:22 IST,Service 9
critical,124802,Driver installation error,03/15/2023 18:19:43 IST,03/17/2023 05:19:43 IST,Service 7
medium,124804,Printer spooler error,11/03/2023 08:59:02 IST,11/04/2023 09:59:02 IST,Service 3
low,124806,Slow printing,05/12/2023 00:26:23 IST,05/13/2023 21:26:23 IST,Service 5
high,124808,Printer not responding,07/19/2023 00:06:48 IST,07/20/2023 02:06:48 IST,Service 4
medium,124810,Network issues,10/24/2023 03:24:10 IST,10/24/2023 08:24:10 IST,Service 5
medium,124812,Low ink warning,08/11/2023 01:23:49 IST,08/11/2023 04:23:49 IST,Service 6
critical,124814,Slow printing,12/03/2023 05:54:35 IST,12/04/2023 03:54:35 IST,Service 9
medium,124817,Driver installation error,03/01/2023 15:21:58 IST,03/04/2023 11:21:58 IST,Service 3
high,124820,Printer not responding,11/11/2023 03:07:28 IST,11/13/2023 23:07:28 IST,Service 9
low,124825,Low ink warning,12/03/2023 01:29:55 IST,12/05/2023 12:29:55 IST,Service 6
high,124829,Toner not recognized,07/27/2023 18:42:29 IST,07/30/2023 00:42:29 IST,Service 6
medium,124834,Low ink warning,04/06/2023 13:44:26 IST,04/07/2023 04:44:26 IST,Service 4
critical,124836,Low ink warning,07/14/2023 12:29:42 IST,07/15/2023 01:29:42 IST,Service 6
high,124841,Printer not responding,09/29/2023 14:06:33 IST,10/01/2023 08:06:33 IST,Service 4
high,124844,Slow printing,04/18/2023 13:37:14 IST,04/20/2023 23:37:14 IST,Service 7
medium,124849,Low ink warning,03/24/2023 22:08:59 IST,03/25/2023 08:08:59 IST,Service 6
high,124850,Paper jam,11/25/2023 14:33:55 IST,11/26/2023 19:33:55 IST,Service 3
high,124851,Paper jam,12/25/2023 11:26:49 IST,12/27/2023 18:26:49 IST,Service 1
low,124852,Cannot print PDF,04/18/2023 16:05:53 IST,04/19/2023 17:05:53 IST,Service 2
medium,124853,Cannot connect to printer,08/04/2023 03:44:06 IST,08/05/2023 09:44:06 IST,Service 2
medium,124857,Driver installation error,09/12/2023 10:08:52 IST,09/15/2023 03:08:52 IST,Service 7
low,124860,Cannot connect to printer,02/26/2023 04:05:39 IST,02/26/2023 21:05:39 IST,Service 9
high,124865,Low ink warning,05/18/2023 05:53:04 IST,05/19/2023 05:53:04 IST,Service 4
medium,124868,Paper jam,10/28/2023 01:32:29 IST,10/30/2023 04:32:29 IST,Service 6
critical,124872,Printer spooler error,09/01/2023 18:25:08 IST,09/03/2023 09:25:08 IST,Service 9
critical,124877,Cannot print PDF,05/21/2023 21:27:20 IST,05/22/2023 11:27:20 IST,Service 5
low,124881,Slow printing,09/09/2023 22:11:24 IST,09/12/2023 08:11:24 IST,Service 10
medium,124882,Cannot connect to printer,03/02/2023 04:39:18 IST,03/03/2023 10:39:18 IST,Service 5
medium,124886,Driver installation error,12/19/2023 06:30:08 IST,12/19/2023 08:30:08 IST,Service 7
low,124889,Paper jam,04/15/2023 18:04:04 IST,04/18/2023 03:04:04 IST,Service 4
low,124893,Printer not responding,12/19/2023 08:15:24 IST,12/20/2023 00:15:24 IST,Service 2
low,124894,Cannot print PDF,04/14/2023 14:07:16 IST,04/17/2023 10:07:16 IST,Service 2
critical,124899,Printer spooler error,08/13/2023 00:37:51 IST,08/15/2023 07:37:51 IST,Service 10
critical,124904,Cannot print PDF,12/04/2023 17:52:23 IST,12/07/2023 06:52:23 IST,Service 7
medium,124908,Slow printing,08/11/2023 09:32:34 IST,08/12/2023 17:32:34 IST,Service 7
medium,124913,Network issues,07/05/2023 09:10:58 IST,07/06/2023 14:10:58 IST,Service 6
critical,124916,Cannot print PDF,06/08/2023 05:18:51 IST,06/09/2023 11:18:51 IST,Service 1
high,124918,Toner not recognized,11/22/2023 20:36:57 IST,11/25/2023 08:36:57 IST,Service 2
high,124919,Low ink warning,08/08/2023 02:52:15 IST,08/08/2023 03:52:15 IST,Service 5
high,124923,Driver installation error,12/12/2023 15:09:37 IST,12/13/2023 20:09:37 IST,Service 1
critical,124927,Printer not responding,01/02/2023 16:13:12 IST,01/05/2023 00:13:12 IST,Service 5
high,124932,Slow printing,08/16/2023 23:41:47 IST,08/17/2023 07:41:47 IST,Service 6
high,124933,Slow printing,06/17/2023 06:33:42 IST,06/17/2023 16:33:42 IST,Service 1
high,124934,Driver installation error,11/14/2023 22:11:36 IST,11/17/2023 07:11:36 IST,Service 5
critical,124937,Toner not recognized,02/14/2023 00:28:50 IST,02/16/2023 20:28:50 IST,Service 6
critical,124940,Driver installation error,05/09/2023 13:28:40 IST,05/10/2023 09:28:40 IST,Service 4
critical,124944,Driver installation error,05/13/2023 14:01:38 IST,05/14/2023 06:01:38 IST,Service 7
low,124947,Network issues,10/22/2023 07:52:49 IST,10/22/2023 08:52:49 IST,Service 7
medium,124948,Low ink warning,12/15/2023 14:43:13 IST,12/18/2023 02:43:13 IST,Service 7
critical,124951,Slow printing,02/17/2023 12:14:54 IST,02/20/2023 00:14:54 IST,Service 2
critical,124956,Low ink warning,03/29/2023 00:18:18 IST,03/30/2023 16:18:18 IST,Service 7
critical,124960,Paper jam,05/06/2023 07:08:22 IST,05/06/2023 12:08:22 IST,Service 4
medium,124963,Driver installation error,07/20/2023 13:21:33 IST,07/20/2023 16:21:33 IST,Service 2
high,124964,Low ink warning,01/01/2023 19:34:58 IST,01/02/2023 03:34:58 IST,Service 4
critical,124966,Network issues,04/10/2023 04:48:25 IST,04/11/2023 09:48:25 IST,Service 8
critical,124967,Printer not responding,01/10/2023 02:44:39 IST,01/10/2023 07:44:39 IST,Service 4
high,124972,Cannot print PDF,03/27/2023 09:00:12 IST,03/29/2023 03:00:12 IST,Service 8
high,124974,Printer not responding,09/14/2023 04:10:17 IST,09/15/2023 09:10:17 IST,Service 9
critical,124978,Printer spooler error,07/26/2023 23:22:43 IST,07/28/2023 14:22:43 IST,Service 10
low,124980,Network issues,01/18/2023 17:54:42 IST,01/21/2023 10:54:42 IST,Service 10
critical,124983,Printer spooler error,07/23/2023 20:52:40 IST,07/25/2023 06:52:40 IST,Service 2
high,124984,Low ink warning,11/27/2023 07:17:03 IST,11/28/2023 08:17:03 IST,Service 5
critical,124986,Low ink warning,04/14/2023 04:56:40 IST,04/14/2023 06:56:40 IST,Service 6
medium,124987,Cannot connect to printer,10/29/2023 07:01:41 IST,10/29/2023 15:01:41 IST,Service 8
low,124992,Low ink warning,06/17/2023 20:57:46 IST,06/18/2023 10:57:46 IST,Service 7
medium,124995,Toner not recognized,07/04/2023 21:18:56 IST,07/07/2023 10:18:56 IST,Service 3
high,125000,Printer spooler error,01/19/2023 15:47:02 IST,01/20/2023 04:47:02 IST,Service 6
critical,125002,Low ink warning,12/07/2023 06:03:45 IST,12/07/2023 08:03:45 IST,Service 3
critical,125005,Network issues,06/24/2023 11:19:04 IST,06/26/2023 14:19:04 IST,Service 10
medium,125009,Paper jam,09/13/2023 14:15:21 IST,09/14/2023 16:15:21 IST,Service 10
critical,125011,Slow printing,09/09/2023 14:32:37 IST,09/09/2023 21:32:37 IST,Service 4
low,125014,Slow printing,03/12/2023 11:46:36 IST,03/13/2023 23:46:36 IST,Service 10
medium,125017,Low ink warning,04/10/2023 04:30:13 IST,04/11/2023 22:30:13 IST,Service 9
high,125021,Network issues,12/19/2023 02:01:15 IST,12/21/2023 07:01:15 IST,Service 8
high,125026,Slow printing,02/13/2023 22:20:56 IST,02/15/2023 10:20:56 IST,Service 2
high,125030,Cannot print PDF,03/23/2023 18:01:50 IST,03/26/2023 10:01:50 IST,Service 7
high,125033,Cannot print PDF,10/18/2023 01:13:29 IST,10/19/2023 21:13:29 IST,Service 1
medium,125035,Printer not responding,02/02/2023 14:44:25 IST,02/05/2023 06:44:25 IST,Service 4
medium,125040,Cannot connect to printer,02/08/2023 17:24:40 IST,02/11/2023 10:24:40 IST,Service 5
critical,125044,Printer not responding,06/20/2023 18:36:55 IST,06/22/2023 03:36:55 IST,Service 5
critical,125048,Toner not recognized,07/20/2023 11:08:33 IST,07/21/2023 00:08:33 IST,Service 8
low,125049,Paper jam,05/24/2023 06:55:09 IST,05/25/2023 06:55:09 IST,Service 2
critical,125054,Low ink warning,03/06/2023 06:57:22 IST,03/08/2023 18:57:22 IST,Service 2
high,125058,Printer not responding,07/16/2023 04:27:55 IST,07/18/2023 03:27:55 IST,Service 10
high,125062,Printer not responding,06/19/2023 02:48:08 IST,06/19/2023 06:48:08 IST,Service 8
critical,125063,Cannot connect to printer,10/27/2023 18:24:53 IST,10/28/2023 22:24:53 IST,Service 6
low,125068,Printer not responding,03/21/2023 02:17:57 IST,03/23/2023 15:17:57 IST,Service 9
low,125072,Cannot print PDF,09/03/2023 12:38:53 IST,09/03/2023 21:38:53 IST,Service 2
critical,125075,Slow printing,03/07/2023 05:34:13 IST,03/07/2023 22:34:13 IST,Service 8
low,125077,Cannot connect to printer,08/11/2023 18:28:08 IST,08/13/2023 08:28:08 IST,Service 2
critical,125082,Printer not responding,08/01/2023 20:09:05 IST,08/04/2023 03:09:05 IST,Service 9
high,125086,Cannot connect to printer,12/17/2023 17:13:51 IST,12/20/2023 09:13:51 IST,Service 9
medium,125087,Cannot print PDF,11/25/2023 10:06:58 IST,11/27/2023 03:06:58 IST,Service 2
high,125089,Printer spooler error,12/30/2023 18:33:00 IST,01/01/2024 17:33:00 IST,Service 7
high,125093,Slow printing,08/23/2023 03:57:47 IST,08/25/2023 16:57:47 IST,Service 3
low,125094,Cannot connect to printer,07/18/2023 10:03:33 IST,07/18/2023 16:03:33 IST,Service 2
medium,125098,Printer not responding,04/18/2023 03:39:01 IST,04/20/2023 18:39:01 IST,Service 3
high,125102,Paper jam,06/02/2023 23:15:52 IST,06/03/2023 21:15:52 IST,Service 6
critical,125105,Printer not responding,06/21/2023 07:32:44 IST,06/21/2023 21:32:44 IST,Service 4
medium,125106,Driver installation error,12/17/2023 11:26:51 IST,12/18/2023 12:26:51 IST,Service 10
critical,125111,Paper jam,10/13/2023 14:49:24 IST,10/16/2023 05:49:24 IST,Service 1
low,125114,Network issues,08/11/2023 13:27:48 IST,08/13/2023 11:27:48 IST,Service 7
high,125115,Toner not recognized,09/02/2023 13:27:01 IST,09/04/2023 13:27:01 IST,Service 6
high,125119,Paper jam,05/30/2023 21:39:34 IST,05/31/2023 02:39:34 IST,Service 2
critical,125120,Low ink warning,07/23/2023 09:07:38 IST,07/24/2023 00:07:38 IST,Service 6
low,125124,Printer not responding,07/22/2023 14:02:14 IST,07/24/2023 20:02:14 IST,Service 5
low,125127,Cannot print PDF,03/02/2023 03:39:39 IST,03/03/2023 12:39:39 IST,Service 8
critical,125132,Printer spooler error,11/10/2023 07:23:45 IST,11/12/2023 06:23:45 IST,Service 10
critical,125137,Driver installation error,02/07/2023 11:04:51 IST,02/10/2023 10:04:51 IST,Service 1
